Name,hof_status,games,pa,hr,rbi,sb,avg,obp,slg,wrc,Offensive_value,defensive_value,war
Bobby Tolan,notHOF,262,764,12,61,24,0.227,0.274,0.329,76,-20.8,-0.2,0.4
Mike Ramsey,notHOF,348,767,2,54,14,0.245,0.293,0.305,65,-30,-2.8,-0.8
Jack Bliss,notHOF,241,774,3,61,13,0.219,0.318,0.274,80,-21.1,10.6,1.5
Masyn Winn,notHOF,187,774,17,69,13,0.251,0.299,0.385,90,-7.1,7.7,2.8
Eddie Ainsmith,notHOF,228,780,16,98,6,0.263,0.316,0.398,85,-15.5,4.7,1.8
Adam Kennedy,notHOF,235,781,6,70,13,0.253,0.3,0.344,66,-32.9,7.5,0
Carl Sawatski,notHOF,305,785,35,116,2,0.256,0.346,0.444,103,4,2.9,3.4
Andrew Knizner,notHOF,256,794,17,76,4,0.216,0.29,0.331,74,-27.4,-12.5,-1.3
Doug Baird,notHOF,202,798,2,53,45,0.248,0.3,0.359,100,5.6,18.8,5.5
Hal Rice,notHOF,267,801,14,106,1,0.259,0.31,0.386,85,-16.9,-13.8,-0.4
Eddie Kasko,notHOF,238,802,3,57,7,0.255,0.304,0.316,61,-37.5,13.3,-0.1
Billy Southworth,notHOF,210,814,13,111,23,0.305,0.352,0.442,109,12.5,-1.1,3.8
Reggie Sanders,notHOF,228,816,43,121,35,0.265,0.325,0.507,113,18.2,-3.7,4.1
Al Shaw,notHOF,230,819,3,54,25,0.257,0.335,0.335,112,8.9,-16.1,2.4
Howard Freigau,notHOF,223,827,3,74,15,0.261,0.306,0.338,72,-31.3,0.1,-0.1
Bernie Carbo,notHOF,276,828,18,86,3,0.272,0.385,0.4,122,20.8,-2.9,4.8
Billy Johnson,notHOF,229,828,16,99,6,0.258,0.339,0.379,95,-4.4,23.8,4.8
Dick Sisler,notHOF,280,831,16,115,3,0.255,0.301,0.377,85,-16.5,-13.2,-0.3
Danny Litwhiler,notHOF,226,840,22,113,3,0.268,0.329,0.428,112,11.5,1.1,4
Jack Glasscock,notHOF,187,842,4,98,46,0.272,0.342,0.35,98,-0.9,10.5,3.7
Tuck Turner,notHOF,189,842,3,75,15,0.262,0.323,0.368,83,-24.8,-21.5,-1.2
Chuck Diering,notHOF,396,845,8,75,6,0.252,0.34,0.367,88,-12.5,-19.5,-0.4
Adam Wainwright,notHOF,508,848,10,75,0,0.194,0.221,0.293,35,-69.1,91.5,5
Frank Shugart,notHOF,192,848,7,100,34,0.288,0.351,0.41,88,-19.3,-13.1,0.3
Jack Ryan,notHOF,226,850,1,55,9,0.203,0.226,0.251,42,-63.4,9.8,-2.2
Willson Contreras,notHOF,209,853,35,103,10,0.263,0.367,0.468,133,30.6,-6.1,5.4
